%time,field
1673961820846971602,-0.804798038377
1673961820868583068,-0.966729282251
1673961820890217113,-1.12866052612
1673961820908546407,-1.29059177
1673961820925141909,-1.27169715808
1673961820946070346,-1.25280254617
1673961820965965996,-1.23390793425
1673961820986646275,-1.21501332233
1673961821015662024,-1.19611871042
1673961821026883108,-1.1772240985
1673961821045731953,-1.15832948659
1673961821067209741,-1.13943487467
1673961821086952045,-1.12054026275
1673961821106240969,-1.10164565084
1673961821125378859,-1.0173313863
1673961821146194536,-0.933017121755
1673961821172607800,-0.848702857215
1673961821195645774,-0.764388592674
1673961821205677803,-0.680074328133
1673961821227364367,-0.595760063592
1673961821246179480,-0.427131534511
1673961821265212597,-0.351543851599
1673961821285909528,-0.275956168687
1673961821306164013,-0.200368485775
1673961821326478324,-0.124780802863
1673961821346312281,-0.0491931199517
1673961821376620965,0.0263945629601
1673961821402007179,0.101982245872
1673961821410764339,0.177569928784
1673961821436456270,0.253157611695
1673961821445889104,0.328745294607
1673961821469012862,0.257115098599
1673961821493577664,0.18548490259
1673961821505265887,0.113854706582
1673961821525319087,0.0422245105735
1673961821545146243,-0.029405685435
1673961821565128171,-0.101035881443
1673961821586028498,-0.172666077452
1673961821609526797,-0.24429627346
1673961821626332355,-0.315926469469
1673961821645201919,-0.387556665477
1673961821665202991,-0.527033284679
1673961821698460313,-0.66650990388
1673961821705691642,-0.805986523081
1673961821731409436,-0.945463142283
1673961821745571737,-1.08493976148
1673961821765243480,-1.22441638069
1673961821787335612,-1.36389299989
1673961821805294124,-1.64284623829
1673961821825649012,-1.76852915611
1673961821845681143,-1.89421207392
1673961821868783125,-2.01989499174
1673961821885816294,-2.14557790956
1673961821906445976,-2.27126082738
1673961821925319487,-2.39694374519
1673961821945899809,-2.52262666301
1673961821965674723,-2.64830958083
1673961821985176719,-2.77399249864
1673961822005346250,-2.89967541646
1673961822026542384,-2.99985759744
1673961822045236178,-3.10003977841
1673961822065370825,-3.20022195938
1673961822085324940,-3.30040414035
1673961822108532909,-3.40058632133
1673961822125686058,-3.5007685023
1673961822145795080,-3.60095068327
1673961822165829179,-3.70113286425
1673961822188806560,-3.80131504522
1673961822205323666,-3.90149722619
1673961822226060151,-3.84989064561
1673961822245272844,-3.79828406502
1673961822265916986,-3.74667748444
1673961822292712508,-3.69507090385
1673961822307827631,-3.59185774268
1673961822326582521,-3.39921879145
1673961822345604744,-3.20657984021
1673961822368321035,-3.01394088897
1673961822386098025,-2.82130193773
1673961822408634424,-2.6286629865
1673961822425639610,-2.43602403526
1673961822446856742,-2.24338508402
1673961822465958058,-2.05074613278
1673961822489509566,-1.85810718155
1673961822505512267,-1.66546823031
1673961822525154413,-1.46159905139
1673961822545784780,-1.25772987247
1673961822565310455,-1.05386069355
1673961822585306614,-0.849991514636
1673961822605559850,-0.646122335718
1673961822625205655,-0.4422531568
1673961822645171597,-0.238383977882
1673961822675308726,-0.0345147989641
1673961822695984571,0.169354379954
1673961822706073288,0.373223558872
1673961822726463503,0.335901202985
1673961822745962192,0.298578847098
1673961822765218943,0.26125649121
1673961822796680488,0.223934135323
1673961822809424418,0.186611779436
1673961822826138942,0.149289423549
1673961822845429258,0.111967067662
1673961822874005892,0.0746447117743
1673961822886384652,0.0373223558871
1673961822925547614,-8.881784197e-14
1673961822950353220,-8.881784197e-14
1673961822965535030,-8.881784197e-14
1673961822985392625,-8.881784197e-14
1673961823005345575,-8.881784197e-14
1673961823025437337,-8.881784197e-14
1673961823045731428,-8.881784197e-14
1673961823065639517,-8.881784197e-14
1673961823085760024,-8.881784197e-14
1673961823109869622,-8.881784197e-14
1673961823127394351,-8.881784197e-14
