%time,field
1673961816109061324,0.0274849238662
1673961816125514991,0.0222859490276
1673961816145497984,0.0166121669364
1673961816165284048,0.0106025570257
1673961816186260042,0.00439609872897
1673961816205282117,-0.00200720795392
1673961816225353760,-0.00860736302295
1673961816245460417,-0.0154043664781
1673961816265438627,-0.0223982183194
1673961816285896567,-0.0295889185468
1673961816305507569,-0.0369764671604
1673961816325258392,-0.0445608641601
1673961816345170568,-0.0523421095459
1673961816371811855,-0.0599866536243
1673961816385326621,-0.0671609467017
1673961816409028958,-0.0738649887782
1673961816425410196,-0.0800987798537
1673961816445379976,-0.0911556090019
1673961816465522218,-0.0959722218902
1673961816486320957,-0.100305733409
1673961816505714316,-0.104156143558
1673961816525250512,-0.107523452337
1673961816545323015,-0.110407659746
1673961816569430412,-0.112808765786
1673961816585432813,-0.114726770456
1673961816606287652,-0.116161673756
1673961816625832643,-0.117113475686
1673961816645137819,-0.117582176247
1673961816665259371,-0.11766043585
1673961816686638910,-0.117440914907
1673961816707720567,-0.116923613418
1673961816725824083,-0.116108531383
1673961816745386477,-0.114995668801
1673961816765317952,-0.113585025674
1673961816787643290,-0.111876602001
1673961816805981007,-0.109870397781
1673961816825412099,-0.107566413016
1673961816845259443,-0.104964647704
1673961816872923163,-0.102141991713
1673961816885412647,-0.0991753349064
1673961816906391003,-0.0960646772857
1673961816925429739,-0.0928100188506
1673961816950635367,-0.0894113596009
1673961816965280790,-0.0858686995368
1673961816986121707,-0.0821820386583
1673961817005588712,-0.0743767144577
1673961817025655872,-0.0702947860765
1673961817045229976,-0.0661423267624
1673961817065340720,-0.0619193365153
1673961817085283052,-0.0576258153354
1673961817106064658,-0.0532617632225
1673961817125740127,-0.0488271801767
1673961817145166812,-0.044322066198
1673961817165218857,-0.0397464212864
1673961817185562592,-0.0351002454418
1673961817206741908,-0.0303835386643
1673961817228238974,-0.0256419684025
1673961817245447048,-0.020921202105
1673961817266612139,-0.0162212397717
1673961817285806568,-0.0115420814026
1673961817307944367,-0.00688372699776
1673961817325365136,-0.00224617655718
1673961817345218858,0.00237056991916
1673961817369064850,0.00696651243126
1673961817385954769,0.0115416509791
1673961817405841434,0.0160959855627
1673961817428292587,0.0205954939465
1673961817445321557,0.0250061538949
1673961817465614715,0.0293279654079
1673961817486576761,0.0335609284854
1673961817512239914,0.0377050431276
1673961817526803312,0.0417603093344
1673961817545624524,0.0496042964417
1673961817566193283,0.053351210704
1673961817586916457,0.0569256632541
1673961817605285401,0.0603276540923
1673961817626235396,0.0635571832184
1673961817645883335,0.0666142506324
1673961817672709868,0.0694988563343
1673961817685693991,0.0722110003243
1673961817709366229,0.0747506826021
1673961817728589529,0.0771179031679
1673961817746916813,0.0793126620217
1673961817766405954,0.0813537306738
1673961817788254861,0.0832598806346
1673961817806572389,0.0850311119042
1673961817826403415,0.0866674244825
1673961817847362905,0.0881688183696
1673961817886421913,0.0895352935654
1673961817891747685,0.09076685007
1673961817906375551,0.0918634878832
1673961817927229263,0.0928252070053
1673961817945824538,0.093652007436
1673961817968292348,0.094360861687
1673961817985873910,0.0949687422695
1673961818008295013,0.0954756491835
1673961818029925000,0.0958815824291
1673961818045987172,0.096390527915
1673961818065544419,0.0975658944637
1673961818085451487,0.100784995961
1673961818106141759,0.106047832406
1673961818125155862,0.1133544038
1673961818146218533,0.122704710141
1673961818167349483,0.134098751432
1673961818186949882,0.14753652767
1673961818207644336,0.163018038857
1673961818229651745,0.180543284992
1673961818245549397,0.200112266076
1673961818266371929,0.220682745049
1673961818286339545,0.241212484854
1673961818307986249,0.26170148549
1673961818326137687,0.282149746958
1673961818345996904,0.302557269257
1673961818376529054,0.322924052388
1673961818387046044,0.34325009635
1673961818408604860,0.363535401143
1673961818428847427,0.383779966768
1673961818447033226,0.403983793224
1673961818470185342,0.423548462113
1673961818485793889,0.441875555034
1673961818505704965,0.458965071987
1673961818527067270,0.474817012973
1673961818547224519,0.502808167041
1673961818566562100,0.515303961055
1673961818586550927,0.527275340962
1673961818614161925,0.538722306762
1673961818626023877,0.549644858456
1673961818647485919,0.560042996043
1673961818665923381,0.569916719523
1673961818699459978,0.579266028897
1673961818705663624,0.588090924164
1673961818727894488,0.596391405325
1673961818748383616,0.604167472379
1673961818765714190,0.61075840417
1673961818785833554,0.615503479542
1673961818812294424,0.618402698494
1673961818825287844,0.619456061027
1673961818847788952,0.61866356714
1673961818865599006,0.616025216835
1673961818887795410,0.61154101011
1673961818905150292,0.605210946966
1673961818935686668,0.597035027402
1673961818949534900,0.587013251419
1673961818966474077,0.575589104768
1673961818987616022,0.563206073199
1673961819012236367,0.549864156713
1673961819029823399,0.53556335531
1673961819045709936,0.52030366899
1673961819065431691,0.504085097752
1673961819089221675,0.486907641598
1673961819115666290,0.449676074536
1673961819131293028,0.430165541923
1673961819146383102,0.410783280981
1673961819165220948,0.391529291709
1673961819185628338,0.372403574107
1673961819208699440,0.353406128176
1673961819225236185,0.334536953915
1673961819245388032,0.315796051325
1673961819265501623,0.297183420405
1673961819288717242,0.278699061155
1673961819305579917,0.260342973576
1673961819332340804,0.242187055331
1673961819345444427,0.224303204083
1673961819370145452,0.206691419833
1673961819385379007,0.18935170258
1673961819405466089,0.172284052325
1673961819428173636,0.155488469067
1673961819445259384,0.138964952807
1673961819465791399,0.122713503544
1673961819485299951,0.106734121279
1673961819505469269,0.0910268060114
1673961819530365654,0.0756411454995
1673961819545214990,0.060626727502
1673961819565263905,0.0459835520189
1673961819586179436,0.0317116190502
1673961819605158691,0.00428148065572
1673961819625507650,-0.0112795077057
1673961819647670540,-0.0312748194241
1673961819666175707,-0.0557044544996
1673961819685670260,-0.0845684129322
1673961819705660794,-0.117866694722
1673961819726472778,-0.155599299868
1673961819745446439,-0.197766228372
1673961819766528829,-0.244367480233
